 ChipID Half  Layer0  Layer1  Layer2   Layer3   Layer4  Layer5   Layer6   Layer7  Layer8  Pseaudo_Eff
    821   h1       1       1   0.800 0.952381 0.668182       1 0.769231 0.923077       1     0.361485
    822   h1       1       1   0.800 1.000000 0.700000       1 0.769231 0.923077       1     0.397633
    823   h1       1       1   0.800 1.000000 0.700000       1 0.769231 0.923077       1     0.397633
    860   h1       1       1   0.665 0.952381 0.763636       1 0.846154 0.769231       1     0.314793
    861   h1       1       1   0.700 1.000000 0.800000       1 0.846154 0.769231       1     0.364497
    862   h1       1       1   0.700 1.000000 0.800000       1 0.846154 0.769231       1     0.364497
    863   h1       1       1   0.700 1.000000 0.800000       1 0.846154 0.620879       1     0.294201
    864   h1       1       1   0.855 0.666667 0.954545       1 1.000000 0.769231       1     0.418531
    865   h1       1       1   0.900 0.700000 1.000000       1 1.000000 0.769231       1     0.484615
    866   h1       1       1   0.900 0.700000 1.000000       1 1.000000 0.769231       1     0.484615
    867   h1       1       1   0.900 0.700000 1.000000       1 1.000000 0.769231       1     0.484615
    868   h1       1       1   0.900 0.642857 0.954545       1 0.683761 0.846154       1     0.319527
    869   h1       1       1   1.000 0.700000 1.000000       1 0.769231 0.846154       1     0.455621
    870   h1       1       1   1.000 0.700000 1.000000       1 0.769231 0.769231       1     0.414201
    871   h1       1       1   1.000 0.676190 1.000000       1 0.769231 0.846154       1     0.440124
    872   h1       1       1   0.700 0.700000 0.700000       1 0.757835 0.923077       1     0.239942
    873   h1       1       1   0.700 0.700000 0.700000       1 0.769231 0.923077       1     0.243550
    874   h1       1       1   0.700 0.700000 0.700000       1 0.769231 0.923077       1     0.243550
    875   h1       1       1   0.700 0.700000 0.700000       1 0.769231 0.923077       1     0.243550
    876   h1       1       1   0.700 1.000000 0.700000       1 0.769231 1.000000       1     0.376923
    877   h1       1       1   0.700 1.000000 0.700000       1 0.769231 1.000000       1     0.376923
    878   h1       1       1   0.700 1.000000 0.700000       1 0.769231 1.000000       1     0.376923
    879   h1       1       1   0.700 1.000000 0.700000       1 0.769231 1.000000       1     0.376923
    880   h1       1       1   1.000 0.700000 1.000000       1 0.814815 0.846154       1     0.482621
    881   h1       1       1   1.000 0.700000 1.000000       1 0.846154 0.846154       1     0.501183
    882   h1       1       1   1.000 0.700000 1.000000       1 0.769231 0.846154       1     0.455621
    883   h1       1       1   1.000 0.700000 1.000000       1 0.769231 0.846154       1     0.455621
    884   h1       1       1   0.625 0.647619 0.663636       1 0.925926 0.747253       1     0.185855
    885   h1       1       1   0.700 0.800000 0.700000       1 1.000000 0.769231       1     0.301538
    886   h1       1       1   0.700 0.800000 0.700000       1 1.000000 0.769231       1     0.301538
    887   h1       1       1   0.700 0.800000 0.700000       1 1.000000 0.769231       1     0.301538
    888   h1       1       1   0.700 0.952381 0.668182       1 0.769231 0.769231       1     0.263583
    889   h1       1       1   0.700 1.000000 0.700000       1 0.769231 0.769231       1     0.289941
    890   h1       1       1   0.700 1.000000 0.700000       1 0.769231 0.769231       1     0.289941
    891   h1       1       1   0.700 1.000000 0.700000       1 0.769231 0.769231       1     0.289941
    892   h1       1       1   1.000 0.761905 0.668182       1 0.769231 0.769231       1     0.301237
    893   h1       1       1   1.000 0.800000 0.700000       1 0.769231 0.769231       1     0.331361
    894   h1       1       1   1.000 0.800000 0.700000       1 0.769231 0.769231       1     0.331361
    895   h1       1       1   1.000 0.900000 0.700000       1 0.555556 0.670330       1     0.234615
    916   h1       1       1   0.900 0.661905 0.668182       1 0.846154 0.769231       1     0.259083
    917   h1       1       1   0.900 0.700000 0.700000       1 0.846154 0.769231       1     0.287041
    918   h1       1       1   0.900 0.700000 0.700000       1 0.846154 0.769231       1     0.287041
    919   h1       1       1   0.900 0.700000 0.700000       1 0.846154 0.769231       1     0.287041
    920   h1       1       1   0.810 0.500000 0.700000       1 0.532764 0.376374       1     0.056847
    921   h1       1       1   0.510 0.904762 0.763636       1 0.307692 0.706044       1     0.076549
    922   h1       1       1   0.690 1.000000 0.800000       1 0.769231 0.769231       1     0.326627
    923   h1       1       1   0.700 1.000000 0.800000       1 0.769231 0.769231       1     0.331361
    924   h1       1       1   0.700 1.000000 0.800000       1 0.769231 0.769231       1     0.331361
    925   h1       1       1   0.650 0.714286 0.800000       1 0.740741 0.398352       1     0.109599
    926   h1       1       1   1.000 0.900000 0.668182       1 0.923077 0.620879       1     0.344653
    927   h1       1       1   1.000 0.900000 0.700000       1 0.923077 0.769231       1     0.447337
    928   h1       1       1   1.000 1.000000 0.700000       1 0.923077 0.769231       1     0.497041
    929   h1       1       1   1.000 1.000000 0.700000       1 0.923077 0.769231       1     0.497041
    930   h1       1       1   0.900 0.714286 0.700000       1 0.547009 0.500000       1     0.123077
    931   h1       1       1   0.800 0.700000 0.954545       1 0.769231 0.769231       1     0.316299
    932   h1       1       1   0.800 0.700000 1.000000       1 0.769231 0.769231       1     0.331361
    933   h1       1       1   0.800 0.700000 1.000000       1 0.769231 0.769231       1     0.331361
    934   h1       1       1   0.800 0.700000 1.000000       1 0.769231 0.769231       1     0.331361
    935   h1       1       1   0.720 0.500000 1.000000       1 0.455840 0.370879       1     0.060862
