 ChipID Half   Layer0  Layer1  Layer2   Layer3  Layer4   Layer5   Layer6  Layer7   Layer8  Pseaudo_Eff
    892   h1 0.695652       1       1 0.750000       1 0.923077 0.800000       1 0.837461     0.322661
    893   h1 0.727273       1       1 0.750000       1 0.923077 0.800000       1 0.882353     0.355409
    894   h1 0.632411       1       1 0.390000       1 0.923077 0.611765       1 0.394737     0.054979
    895   h1 0.181818       1       1 0.000000       1 0.512821 0.000000       1 0.000000     0.000000
    916   h1 0.695652       1       1 0.750000       1 0.769231 0.933333       1 0.823529     0.308479
    917   h1 0.727273       1       1 0.750000       1 0.769231 0.933333       1 0.823529     0.322501
    918   h1 0.727273       1       1 0.750000       1 0.769231 0.933333       1 0.823529     0.322501
    919   h1 0.727273       1       1 0.570000       1 0.666667 0.658824       1 0.530960     0.096674
    920   h1 0.158103       1       1 0.000000       1 0.398860 0.000000       1 0.054180     0.000000
    921   h1 0.869565       1       1 0.733333       1 0.769231 0.866667       1 0.823529     0.350099
    922   h1 0.909091       1       1 0.750000       1 0.769231 0.866667       1 0.823529     0.374332
    923   h1 0.909091       1       1 0.750000       1 0.769231 0.866667       1 0.823529     0.374332
    924   h1 0.909091       1       1 0.576923       1 0.769231 0.637255       1 0.823529     0.211726
    925   h1 0.197628       1       1 0.000000       1 0.569801 0.000000       1 0.108359     0.000000
    926   h1 0.707510       1       1 0.721154       1 0.769231 0.800000       1 0.823529     0.258575
    927   h1 0.727273       1       1 0.750000       1 0.769231 0.800000       1 0.823529     0.276429
    928   h1 0.727273       1       1 0.750000       1 0.769231 0.800000       1 0.823529     0.276429
    929   h1 0.727273       1       1 0.576923       1 0.769231 0.564706       1 0.823529     0.150097
    930   h1 0.158103       1       1 0.000000       1 0.569801 0.000000       1 0.108359     0.000000
    931   h1 0.909091       1       1 0.881410       1 0.692308 0.800000       1 0.823529     0.365472
    932   h1 0.909091       1       1 0.916667       1 0.754986 0.800000       1 0.825077     0.415281
    933   h1 0.909091       1       1 0.916667       1 0.723647 0.800000       1 0.823529     0.397296
    934   h1 0.909091       1       1 0.705128       1 0.589744 0.564706       1 0.235294     0.050231
    935   h1 0.197628       1       1 0.000000       1 0.341880 0.000000       1 0.000000     0.000000
