 ChipID Half   Layer0  Layer1  Layer2   Layer3  Layer4   Layer5   Layer6  Layer7  Layer8  Pseaudo_Eff
    925   h1 0.197628       1       1 0.000000       1 0.569801 0.000000       1       1     0.000000
    926   h1 0.707510       1       1 0.721154       1 0.769231 0.800000       1       1     0.313984
    927   h1 0.727273       1       1 0.750000       1 0.769231 0.800000       1       1     0.335664
    928   h1 0.727273       1       1 0.750000       1 0.769231 0.800000       1       1     0.335664
    929   h1 0.727273       1       1 0.576923       1 0.769231 0.564706       1       1     0.182261
    930   h1 0.158103       1       1 0.000000       1 0.569801 0.000000       1       1     0.000000
    931   h1 0.909091       1       1 0.881410       1 0.692308 0.800000       1       1     0.443787
    932   h1 0.909091       1       1 0.916667       1 0.754986 0.800000       1       1     0.503324
    933   h1 0.909091       1       1 0.916667       1 0.723647 0.800000       1       1     0.482431
    934   h1 0.909091       1       1 0.705128       1 0.589744 0.564706       1       1     0.213482
    935   h1 0.197628       1       1 0.000000       1 0.341880 0.000000       1       1     0.000000
