 ChipID Half   Layer0   Layer1  Layer2   Layer3  Layer4   Layer5   Layer6   Layer7   Layer8  Pseaudo_Eff
    923   h1 0.666667 1.000000   0.700 1.000000       1 1.000000 0.769231 0.769231 0.785714     0.216963
    924   h1 0.666667 1.000000   0.700 1.000000       1 1.000000 0.769231 0.769231 0.785714     0.216963
    925   h1 0.666667 1.000000   0.650 0.714286       1 1.000000 0.740741 0.398352 0.764977     0.069868
    926   h1 0.894737 0.631579   1.000 0.900000       1 1.000000 0.923077 0.620879 0.714286     0.208201
    927   h1 1.000000 0.666667   1.000 0.900000       1 1.000000 0.923077 0.769231 0.714286     0.304311
    928   h1 1.000000 0.666667   1.000 1.000000       1 1.000000 0.923077 0.769231 0.714286     0.338123
    929   h1 1.000000 0.666667   1.000 1.000000       1 1.000000 0.923077 0.769231 0.781106     0.369754
    930   h1 1.000000 0.666667   0.900 0.714286       1 1.000000 0.547009 0.500000 0.785714     0.092098
    931   h1 0.619883 0.736842   0.800 0.700000       1 0.700000 0.769231 0.769231 0.785714     0.083243
    932   h1 0.666667 0.777778   0.800 0.700000       1 0.700000 0.769231 0.769231 0.788018     0.094776
    933   h1 0.666667 0.777778   0.800 0.700000       1 0.700000 0.769231 0.769231 0.854839     0.102813
    934   h1 0.666667 0.777778   0.800 0.700000       1 0.700000 0.769231 0.769231 0.790323     0.095053
    935   h1 0.666667 0.777778   0.720 0.500000       1 0.700000 0.455840 0.370879 0.721198     0.015932
