 ChipID Half   Layer0   Layer1  Layer2   Layer3   Layer4  Layer5   Layer6   Layer7  Layer8  Pseaudo_Eff
    871   h1 1.000000 0.777778   1.000 0.676190 1.000000       1 0.769231 0.846154       1     0.342319
    872   h1 0.596491 0.666667   0.700 0.700000 0.700000       1 0.757835 0.923077       1     0.095416
    873   h1 0.666667 0.666667   0.700 0.700000 0.700000       1 0.769231 0.923077       1     0.108245
    874   h1 0.666667 0.666667   0.700 0.700000 0.700000       1 0.769231 0.923077       1     0.108245
    875   h1 0.666667 0.666667   0.700 0.700000 0.700000       1 0.769231 0.923077       1     0.108245
    876   h1 0.695906 1.000000   0.700 1.000000 0.700000       1 0.769231 1.000000       1     0.262303
    877   h1 0.777778 1.000000   0.700 1.000000 0.700000       1 0.769231 1.000000       1     0.293162
    878   h1 0.777778 1.000000   0.700 1.000000 0.700000       1 0.769231 1.000000       1     0.293162
    879   h1 0.777778 1.000000   0.700 1.000000 0.700000       1 0.769231 1.000000       1     0.293162
    880   h1 0.894737 0.649123   1.000 0.700000 1.000000       1 0.814815 0.846154       1     0.280303
    881   h1 1.000000 0.666667   1.000 0.700000 1.000000       1 0.846154 0.846154       1     0.334122
    882   h1 1.000000 0.666667   1.000 0.700000 1.000000       1 0.769231 0.846154       1     0.303748
    883   h1 1.000000 0.666667   1.000 0.700000 1.000000       1 0.769231 0.846154       1     0.303748
    884   h1 0.479532 0.736842   0.625 0.647619 0.663636       1 0.925926 0.747253       1     0.065670
    885   h1 0.666667 1.000000   0.700 0.800000 0.700000       1 1.000000 0.769231       1     0.201026
    886   h1 0.666667 1.000000   0.700 0.800000 0.700000       1 1.000000 0.769231       1     0.201026
    887   h1 0.666667 1.000000   0.700 0.800000 0.700000       1 1.000000 0.769231       1     0.201026
    888   h1 0.947368 0.947368   0.700 0.952381 0.668182       1 0.769231 0.769231       1     0.236567
    889   h1 1.000000 1.000000   0.700 1.000000 0.700000       1 0.769231 0.769231       1     0.289941
    890   h1 1.000000 1.000000   0.700 1.000000 0.700000       1 0.769231 0.769231       1     0.289941
    891   h1 1.000000 1.000000   0.700 1.000000 0.700000       1 0.769231 0.769231       1     0.289941
    892   h1 0.695906 0.631579   1.000 0.761905 0.668182       1 0.769231 0.769231       1     0.132400
    893   h1 0.777778 0.666667   1.000 0.800000 0.700000       1 0.769231 0.769231       1     0.171817
    894   h1 0.777778 0.666667   1.000 0.800000 0.700000       1 0.769231 0.769231       1     0.171817
    895   h1 0.777778 0.666667   1.000 0.900000 0.700000       1 0.555556 0.670330       1     0.121652
    916   h1 0.894737 0.631579   0.900 0.661905 0.668182       1 0.846154 0.769231       1     0.146407
    917   h1 1.000000 0.666667   0.900 0.700000 0.700000       1 0.846154 0.769231       1     0.191361
    918   h1 1.000000 0.666667   0.900 0.700000 0.700000       1 0.846154 0.769231       1     0.191361
    919   h1 1.000000 0.666667   0.900 0.700000 0.700000       1 0.846154 0.769231       1     0.191361
    920   h1 1.000000 0.666667   0.810 0.500000 0.700000       1 0.532764 0.376374       1     0.037898
    921   h1 0.298246 0.947368   0.510 0.904762 0.763636       1 0.307692 0.706044       1     0.021629
    922   h1 0.631579 1.000000   0.690 1.000000 0.800000       1 0.769231 0.769231       1     0.206291
    923   h1 0.666667 1.000000   0.700 1.000000 0.800000       1 0.769231 0.769231       1     0.220907
    924   h1 0.666667 1.000000   0.700 1.000000 0.800000       1 0.769231 0.769231       1     0.220907
    925   h1 0.666667 1.000000   0.650 0.714286 0.800000       1 0.740741 0.398352       1     0.073066
    926   h1 0.894737 0.631579   1.000 0.900000 0.668182       1 0.923077 0.620879       1     0.194762
    927   h1 1.000000 0.666667   1.000 0.900000 0.700000       1 0.923077 0.769231       1     0.298225
    928   h1 1.000000 0.666667   1.000 1.000000 0.700000       1 0.923077 0.769231       1     0.331361
    929   h1 1.000000 0.666667   1.000 1.000000 0.700000       1 0.923077 0.769231       1     0.331361
    930   h1 1.000000 0.666667   0.900 0.714286 0.700000       1 0.547009 0.500000       1     0.082051
    931   h1 0.619883 0.736842   0.800 0.700000 0.954545       1 0.769231 0.769231       1     0.144471
    932   h1 0.666667 0.777778   0.800 0.700000 1.000000       1 0.769231 0.769231       1     0.171817
    933   h1 0.666667 0.777778   0.800 0.700000 1.000000       1 0.769231 0.769231       1     0.171817
    934   h1 0.666667 0.777778   0.800 0.700000 1.000000       1 0.769231 0.769231       1     0.171817
    935   h1 0.666667 0.777778   0.720 0.500000 1.000000       1 0.455840 0.370879       1     0.031558
