 ChipID Half   Layer0   Layer1  Layer2   Layer3   Layer4  Layer5   Layer6  Layer7   Layer8  Pseaudo_Eff
    924   h1 0.666667 1.000000       1 1.000000 0.800000       1 0.769231       1 0.785714     0.322344
    925   h1 0.666667 1.000000       1 0.714286 0.800000       1 0.740741       1 0.764977     0.215867
    926   h1 0.894737 0.631579       1 0.900000 0.668182       1 0.923077       1 0.714286     0.224063
    927   h1 1.000000 0.666667       1 0.900000 0.700000       1 0.923077       1 0.714286     0.276923
    928   h1 1.000000 0.666667       1 1.000000 0.700000       1 0.923077       1 0.714286     0.307692
    929   h1 1.000000 0.666667       1 1.000000 0.700000       1 0.923077       1 0.781106     0.336476
    930   h1 1.000000 0.666667       1 0.714286 0.700000       1 0.547009       1 0.785714     0.143264
    931   h1 0.619883 0.736842       1 0.700000 0.954545       1 0.769231       1 0.785714     0.184459
    932   h1 0.666667 0.777778       1 0.700000 1.000000       1 0.769231       1 0.788018     0.220017
    933   h1 0.666667 0.777778       1 0.700000 1.000000       1 0.769231       1 0.854839     0.238673
    934   h1 0.666667 0.777778       1 0.700000 1.000000       1 0.769231       1 0.790323     0.220660
    935   h1 0.666667 0.777778       1 0.500000 1.000000       1 0.455840       1 0.721198     0.085232
