 ChipID Half   Layer0   Layer1  Layer2   Layer3  Layer4   Layer5   Layer6  Layer7   Layer8  Pseaudo_Eff
    868   h1 0.842105 0.573099   0.900 0.642857       1 0.677273 0.683761       1 0.737327     0.095341
    869   h1 1.000000 0.777778   1.000 0.700000       1 0.700000 0.769231       1 0.785714     0.230342
    870   h1 1.000000 0.777778   1.000 0.700000       1 0.700000 0.769231       1 0.785714     0.230342
    871   h1 1.000000 0.777778   1.000 0.676190       1 0.700000 0.769231       1 0.767281     0.217287
    872   h1 0.596491 0.666667   0.700 0.700000       1 0.700000 0.757835       1 0.778802     0.080502
    873   h1 0.666667 0.666667   0.700 0.700000       1 0.700000 0.769231       1 0.785714     0.092137
    874   h1 0.666667 0.666667   0.700 0.700000       1 0.700000 0.769231       1 0.785714     0.092137
    875   h1 0.666667 0.666667   0.700 0.700000       1 0.700000 0.769231       1 0.785714     0.092137
    876   h1 0.695906 1.000000   0.700 1.000000       1 1.000000 0.769231       1 0.760369     0.284924
    877   h1 0.777778 1.000000   0.700 1.000000       1 1.000000 0.769231       1 0.785714     0.329060
    878   h1 0.777778 1.000000   0.700 1.000000       1 1.000000 0.769231       1 0.785714     0.329060
    879   h1 0.777778 1.000000   0.700 1.000000       1 1.000000 0.769231       1 0.785714     0.329060
    880   h1 0.894737 0.649123   1.000 0.700000       1 0.700000 0.814815       1 0.744240     0.172580
    881   h1 1.000000 0.666667   1.000 0.700000       1 0.700000 0.846154       1 0.785714     0.217179
    882   h1 1.000000 0.666667   1.000 0.700000       1 0.700000 0.769231       1 0.785714     0.197436
    883   h1 1.000000 0.666667   1.000 0.700000       1 0.700000 0.769231       1 0.767281     0.192804
    884   h1 0.479532 0.736842   0.625 0.647619       1 0.618182 0.925926       1 0.702765     0.057530
    885   h1 0.666667 1.000000   0.700 0.800000       1 0.700000 1.000000       1 0.785714     0.205333
    886   h1 0.666667 1.000000   0.700 0.800000       1 0.700000 1.000000       1 0.785714     0.205333
    887   h1 0.666667 1.000000   0.700 0.800000       1 0.700000 1.000000       1 0.785714     0.205333
    888   h1 0.947368 0.947368   0.700 0.952381       1 0.600000 0.769231       1 0.785714     0.216980
    889   h1 1.000000 1.000000   0.700 1.000000       1 0.650000 0.769231       1 0.788018     0.275806
    890   h1 1.000000 1.000000   0.700 1.000000       1 0.695455 0.769231       1 0.788018     0.295094
